"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/MultilabelAUROC","test/cmAP5"
"module.network.model_name: convnext_bs","SNE","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.8270357847213745","0.29883357882499695"
"module.network.model_name: surfperch","NES","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.8716134428977966","0.22710950672626495"
"module.network.model_name: convnext_bs","SSW","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.9344094395637512","0.3396943211555481"
"module.network.model_name: convnext_bs","NBP","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.9157510995864868","0.6185068488121033"
"module.network.model_name: convnext_bs","HSN","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.8962090015411377","0.4842614531517029"
"module.network.model_name: convnext_bs","UHH","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.7771372199058533","0.2479049265384674"
"module.network.model_name: convnext_bs","NES","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.8775192499160767","0.3413144648075104"
"module.network.model_name: convnext_bs","POW","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.8173377513885498","0.34169599413871765"
"module.network.model_name: convnext_bs","PER","true","convnext_bs","[""biofoundation"",""BirdSet"",""restrict"",""convnext_bs""]","","default","0.725432276725769","0.174556702375412"
"module.network.model_name: surfperch","POW","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.784756064414978","0.2379596382379532"
"module.network.model_name: biolingual","HSN","","biolingual","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""biolingual"",""rs240725""]","","just_cls","0.7753477692604065","0.2522672116756439"
